,38.29,38.29.1,38.29.2,38.29.3,38.29.4,38.29.5,38.66,38.66.1,38.66.2,38.66.3,1
156,25.28,25.28,25.28,25.28,25.65,25.28,25.65,25.65,25.65,25.65,1
157,26.39,26.02,26.39,26.39,26.39,26.39,26.39,26.77,26.77,26.77,1
158,27.14,27.14,27.51,27.51,27.88,27.51,27.88,27.88,27.88,27.88,1
159,28.62,28.62,28.25,28.62,28.62,28.62,28.62,29.0,29.0,29.0,1
160,29.37,29.37,29.37,29.37,29.74,29.74,29.74,29.74,30.11,30.11,1
162,31.6,31.6,31.6,31.6,31.6,31.97,31.97,31.97,31.97,31.97,1
163,32.34,32.34,32.34,32.34,32.71,32.71,32.71,32.71,32.71,32.71,1
164,33.09,33.09,33.09,33.46,33.46,33.46,33.46,33.46,33.46,33.46,1
165,33.83,33.83,33.83,34.2,34.2,34.2,34.2,34.2,34.2,34.57,1
166,34.94,34.94,34.94,34.94,34.94,34.94,34.94,34.94,34.94,34.94,1
167,35.32,35.32,35.32,35.32,35.69,35.69,35.69,35.69,35.69,35.69,1
168,36.06,36.06,36.06,36.06,36.43,36.43,36.43,36.43,36.43,36.43,1
169,36.43,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,36.8,1
170,37.17,37.17,37.17,37.17,37.17,37.17,37.17,37.17,37.55,37.55,1
171,37.55,37.55,37.55,37.55,37.92,37.92,37.92,37.92,37.92,37.92,1
172,37.92,37.92,37.92,37.92,38.29,38.29,38.29,38.29,38.29,38.29,1
173,38.29,38.66,38.29,38.29,38.66,38.66,38.66,38.66,38.66,38.66,1
174,39.03,39.03,38.66,39.03,39.03,39.03,39.03,39.03,39.41,39.41,1
176,39.78,39.78,39.78,40.15,39.78,40.15,40.15,40.15,40.15,40.15,1
178,40.89,40.89,40.89,40.89,40.89,40.89,40.89,40.89,40.89,41.26,1
180,41.64,41.64,41.64,41.64,27.14,23.05,20.45,16.36,11.9,7.06,-1
181,4.09,4.09,4.09,4.09,3.72,3.72,3.72,3.72,3.72,3.72,-1
183,3.72,3.72,3.72,3.72,4.09,3.72,3.72,3.72,3.72,3.72,-1
